"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,2,1,28,137.0069,"1173.jpg","2045.jpg",54,50,1,"b",2,1,749.08,0.21,0.24,138.257,"Low_Value"
"MRI_faces_102",1,2,2,1,29,140.0073,"2248.jpg","1216.jpg",13,16,0,"b",1,0,630.64,0.72,0.68,141.1403,"High_Value"
"MRI_faces_102",1,2,2,1,30,149.007,"1192.jpg","1173.jpg",47,54,0,"b",2,0,811.92,0.29,0.21,150.3239,"Low_Value"
"MRI_faces_102",1,2,2,1,31,153.0075,"2118.jpg","2110.jpg",5,56,1,"b",4,1,945.4,0.85,0.16,154.4581,"Sanity"
"MRI_faces_102",1,2,2,1,32,157.0082,"1262.jpg","2089.jpg",11,15,1,"y",1,0,941.71,0.73,0.68,158.4586,"High_Value"
"MRI_faces_102",1,2,2,1,33,160.0089,"2015.jpg","2248.jpg",14,13,1,"y",1,0,1005.04,0.7,0.72,161.5239,"High_Value"
"MRI_faces_102",1,2,2,1,34,163.0094,"2181.jpg","2248.jpg",9,13,1,"b",1,1,860.59,0.76,0.72,164.3763,"High_Value"
"MRI_faces_102",1,2,2,1,35,173.0109,"2045.jpg","2149.jpg",50,46,0,"b",2,0,1112.99,0.24,0.29,174.6281,"Low_Value"
"MRI_faces_102",1,2,2,1,36,177.0117,"1127.jpg","1130.jpg",51,44,1,"y",2,0,707.17,0.24,0.35,178.2242,"Low_Value"
"MRI_faces_102",1,2,2,1,37,185.013,"1150.jpg","1027.jpg",53,48,0,"b",2,0,930.91,0.22,0.28,186.4468,"Low_Value"
"MRI_faces_102",1,2,2,1,38,188.0153,"1173.jpg","1130.jpg",54,44,1,"y",2,0,777.57,0.21,0.35,189.2973,"Low_Value"
"MRI_faces_102",1,2,2,2,1,2.013737,"2248.jpg","1262.jpg",13,11,0,"b",1,0,753.78,0.72,0.73,3.264996,"High_Value"
"MRI_faces_102",1,2,2,2,2,6.01434,"1013.jpg","1173.jpg",45,54,0,"y",2,1,808.13,0.29,0.21,7.326747,"Low_Value"
"MRI_faces_102",1,2,2,2,3,9.014846,"1052.jpg","1130.jpg",49,44,1,"y",2,0,1027.66,0.28,0.35,10.54865,"Low_Value"
"MRI_faces_102",1,2,2,2,4,14.01574,"1035.jpg","2010.jpg",7,8,0,"b",1,0,704.74,0.79,0.77,15.21617,"High_Value"
"MRI_faces_102",1,2,2,2,5,17.01626,"2089.jpg","2015.jpg",15,14,0,"y",1,1,715.22,0.68,0.7,18.23331,"High_Value"
